Player,Club,Age,Position,Minutes,Goals,xG,xGDiff,Assists,xA,xADiff,Dribbles,DribblesCompleted,PlayersDribbledPast,Nutmegs,Interceptions,TacklesWon,DribbledPast
Ousmane Dembélé,Barcelona,22,FW,136,0,0.2,-0.2,0,0.9,-0.9,16,8,10,1,0,0,1
Álvaro Morata,Atletico Madrid,26,FW,380,2,1.6,0.4,0,0.1,-0.1,11,8,9,0,4,7,2
Dele Alli,Tottenham,23,MF,368,1,1,0,1,1.2,-0.2,18,8,9,2,3,5,5
Harry Winks,Tottenham,23,MF,261,0,0,0,0,0.1,-0.1,11,8,9,1,2,10,5
João Mário,Lokomotiv Moscow,26,MF,355,0,0.5,-0.5,2,0.7,1.3,11,8,9,0,7,7,3
Nélson Semedo,Barcelona,25,"DF,MF",360,0,0.4,-0.4,0,0.5,-0.5,12,8,9,0,7,10,2
Nordi Mukiele,RasenBallsport Leipzig,21,DF,461,0,0.2,-0.2,0,0.5,-0.5,17,8,9,0,8,5,6
Daniel Parejo,Valencia,30,MF,540,1,2.6,-1.6,2,1.1,0.9,14,8,8,2,10,9,16
Enoch Mwepu,Salzburg,21,MF,404,0,0.2,-0.2,3,1,2,12,8,8,1,4,14,22
Kévin Malcuit,Napoli,28,"DF,FW",147,0,0,0,0,0.3,-0.3,11,8,8,0,3,2,5
Mason Mount,Chelsea,20,MF,271,0,0.4,-0.4,0,0.3,-0.3,12,8,8,0,1,8,4
Mislav Oršić,Dinamo Zagreb,26,MF,476,4,2.6,1.4,1,0.8,0.2,15,8,8,1,2,2,10
Ömer Bayram,Galatasaray,28,"FW,MF",251,0,0.1,-0.1,1,0.5,0.5,14,8,8,1,3,1,2
Saúl Ñíguez,Atletico Madrid,24,MF,540,0,0.5,-0.5,0,0.3,-0.3,11,8,8,0,4,10,7
Toni Kroos,Real Madrid,29,MF,450,1,1.1,-0.1,1,1.3,-0.3,11,8,8,0,7,12,13
Younès Belhanda,Galatasaray,29,MF,306,0,0.4,-0.4,0,0.4,-0.4,13,8,8,0,3,6,4
Martin Terrier,Lyon,22,FW,217,1,0.4,0.6,0,0.3,-0.3,10,7,9,0,3,2,5
Alan Patrick,Shakhtar Donetsk,28,MF,497,1,0.6,0.4,2,1.2,0.8,10,7,8,0,5,5,13
Allan,Napoli,28,"DF,MF",435,0,0.1,-0.1,0,0,0,10,7,8,1,5,16,16
Konrad Laimer,RasenBallsport Leipzig,22,MF,410,1,0.5,0.5,0,0.5,-0.5,12,7,8,0,2,15,9
Luiz Araújo,Lille,23,FW,277,0,0.4,-0.4,0,0,0,14,7,8,0,5,1,5
Maxwel Cornet,Lyon,22,FW,199,0,0.3,-0.3,1,0.1,0.9,10,7,8,0,0,2,5
Rodrigo Bentancur,Juventus,22,MF,239,0,0,0,0,0.3,-0.3,11,7,8,0,4,8,4
Yussuf Poulsen,RasenBallsport Leipzig,25,FW,381,0,1.2,-1.2,1,0.2,0.8,9,7,8,0,1,0,3
Yusuf Yazıcı,Lille,22,MF,372,0,1.2,-1.2,0,0.3,-0.3,12,7,8,0,4,8,10
Antonio Candreva,Inter,32,MF,390,1,0.5,0.5,1,1.1,-0.1,8,7,7,0,4,1,4
Arthur Melo,Barcelona,22,MF,264,0,0.1,-0.1,1,0.7,0.3,7,7,7,0,2,5,0
Dayot Upamecano,RasenBallsport Leipzig,20,DF,391,0,0.2,-0.2,0,0,0,8,7,7,0,3,13,0
Divock Origi,Liverpool,24,"FW,MF",128,0,0.3,-0.3,0,0,0,10,7,7,0,0,1,0
Emre Mor,Galatasaray,22,MF,108,0,0.1,-0.1,0,0.1,-0.1,8,7,7,0,2,1,2
Gabriel,Benfica,25,MF,441,0,0.4,-0.4,0,0.2,-0.2,8,7,7,0,17,10,18
Grzegorz Krychowiak,Lokomotiv Moscow,29,MF,533,1,1.3,-0.3,0,0.1,-0.1,10,7,7,0,10,6,8
Hans Vanaken,Club Brugge,26,MF,540,1,0.4,0.6,0,0.7,-0.7,7,7,7,0,1,7,17
Jonathan Bamba,Lille,23,MF,280,0,0.7,-0.7,2,1.2,0.8,8,7,7,0,3,3,2
Jonathan Ikone,Lille,21,FW,240,1,1,0,0,0.6,-0.6,12,7,7,0,0,0,3
