DerbyFlag,HomeTeam,AwayTeam,Result,Date,Scoreline,Outcome
0,Crystal Palace,Wolves,lost,06/10/2018,0-1,-1
0,Leicester,Everton,lost,06/10/2018,1-2,-1
0,Man United,Newcastle,won,06/10/2018,3-2,1
0,Tottenham,Cardiff,won,06/10/2018,1-0,1
0,Watford,Bournemouth,lost,06/10/2018,0-4,-1
0,Fulham,Arsenal,lost,07/10/2018,1-5,-1
0,Liverpool,Man City,drew,07/10/2018,0-0,0
0,Southampton,Chelsea,lost,07/10/2018,0-3,-1
2,Bournemouth,Southampton,drew,20/10/2018,0-0,0
0,Cardiff,Fulham,won,20/10/2018,4-2,1
0,Chelsea,Man United,drew,20/10/2018,2-2,0
0,Huddersfield,Liverpool,lost,20/10/2018,0-1,-1
0,Man City,Burnley,won,20/10/2018,5-0,1
0,Newcastle,Brighton,lost,20/10/2018,0-1,-1
2,West Ham,Tottenham,lost,20/10/2018,0-1,-1
0,Wolves,Watford,lost,20/10/2018,0-2,-1
0,Everton,Crystal Palace,won,21/10/2018,2-0,1
0,Arsenal,Leicester,won,22/10/2018,3-1,1
0,Brighton,Wolves,won,27/10/2018,1-0,1
0,Fulham,Bournemouth,lost,27/10/2018,0-3,-1
0,Leicester,West Ham,drew,27/10/2018,1-1,0
0,Liverpool,Cardiff,won,27/10/2018,4-1,1
0,Southampton,Newcastle,drew,27/10/2018,0-0,0
0,Watford,Huddersfield,won,27/10/2018,3-0,1
0,Burnley,Chelsea,lost,28/10/2018,0-4,-1
0,Crystal Palace,Arsenal,drew,28/10/2018,2-2,0
0,Man United,Everton,won,28/10/2018,2-1,1
0,Tottenham,Man City,lost,29/10/2018,0-1,-1
0,Arsenal,Liverpool,drew,03/11/2018,1-1,0
0,Bournemouth,Man United,lost,03/11/2018,1-2,-1
0,Cardiff,Leicester,lost,03/11/2018,0-1,-1
0,Everton,Brighton,won,03/11/2018,3-1,1
0,Newcastle,Watford,won,03/11/2018,1-0,1
0,West Ham,Burnley,won,03/11/2018,4-2,1
0,Wolves,Tottenham,lost,03/11/2018,2-3,-1
0,Chelsea,Crystal Palace,won,04/11/2018,3-1,1
0,Man City,Southampton,won,04/11/2018,6-1,1
0,Huddersfield,Fulham,won,05/11/2018,1-0,1
0,Cardiff,Brighton,won,10/11/2018,2-1,1
0,Crystal Palace,Tottenham,lost,10/11/2018,0-1,-1
0,Huddersfield,West Ham,drew,10/11/2018,1-1,0
0,Leicester,Burnley,drew,10/11/2018,0-0,0
0,Newcastle,Bournemouth,won,10/11/2018,2-1,1
0,Southampton,Watford,drew,10/11/2018,1-1,0
0,Arsenal,Wolves,drew,11/11/2018,1-1,0
0,Chelsea,Everton,drew,11/11/2018,0-0,0
0,Liverpool,Fulham,won,11/11/2018,2-0,1
2,Man City,Man United,won,11/11/2018,3-1,1
0,Brighton,Leicester,drew,24/11/2018,1-1,0
0,Everton,Cardiff,won,24/11/2018,1-0,1
0,Fulham,Southampton,won,24/11/2018,3-2,1
0,Man United,Crystal Palace,drew,24/11/2018,0-0,0
3,Tottenham,Chelsea,won,24/11/2018,3-1,1
0,Watford,Liverpool,lost,24/11/2018,0-3,-1
0,West Ham,Man City,lost,24/11/2018,0-4,-1
