YearDrafted,Player,OverallRank,VORP,Team,OverallReDraft,RankDeficit,RankDeficitWeighted
2010,Devin Ebanks,43,-0.5,LAL,46,-3.0,-0.06976744186046512
2010,Da'Sean Butler,42,-5.0,MIA,52,-10.0,-0.23809523809523808
2010,Jarvis Varnado,41,0.0,MIA,26,15.0,0.36585365853658536
2010,Lance Stephenson,40,3.6,IND,13,27.0,0.675
2010,Landry Fields,39,2.8,NYK,18,21.0,0.5384615384615384
2010,Andy Rautins,38,-0.1,NYK,31,7.0,0.18421052631578946
2010,Darington Hobson,37,-0.1,MIL,31,6.0,0.16216216216216217
2010,Terrico White,36,-5.0,DET,52,-16.0,-0.4444444444444444
2010,Nemanja Bjelica,35,3.6,WAS,13,22.0,0.6285714285714286
2010,Armon Johnson,34,-0.4,POR,42,-8.0,-0.23529411764705882
2010,Hassan Whiteside,33,5.5,SAC,12,21.0,0.6363636363636364
2010,Dexter Pittman,32,-0.4,MIA,42,-10.0,-0.3125
2010,Tibor Pleiß,31,-0.1,NJN,31,0.0,0.0
2010,Lazar Hayward,30,-0.4,WAS,42,-12.0,-0.4
2010,Daniel Orton,29,0.0,ORL,26,3.0,0.10344827586206896
2010,Greivis Vásquez,28,1.1,MEM,21,7.0,0.25
2010,Jordan Crawford,27,-0.2,NJN,36,-9.0,-0.3333333333333333
2010,Quincy Pondexter,26,1.1,OKC,21,5.0,0.19230769230769232
2010,Dominique Jones,25,-0.3,MEM,40,-15.0,-0.6
2010,Damion James,24,-0.4,ATL,42,-18.0,-0.75
2010,Trevor Booker,23,6.0,MIN,11,12.0,0.5217391304347826
2010,Elliot Williams,22,-1.2,POR,49,-27.0,-1.2272727272727273
2010,Craig Brackins,21,-0.2,OKC,36,-15.0,-0.7142857142857143
2010,James Anderson,20,-0.9,SAS,47,-27.0,-1.35
2010,Avery Bradley,19,0.6,BOS,23,-4.0,-0.21052631578947367
2010,Eric Bledsoe,18,16.8,OKC,6,12.0,0.6666666666666666
2010,Kevin Séraphin,17,-3.1,CHI,51,-34.0,-2.0
2010,Luke Babbitt,16,-1.0,MIN,48,-32.0,-2.0
2010,Larry Sanders,15,3.0,MIL,16,-1.0,-0.06666666666666667
2010,Patrick Patterson,14,7.7,HOU,10,4.0,0.2857142857142857
2010,Ed Davis,13,9.5,TOR,8,5.0,0.38461538461538464
2010,Xavier Henry,12,-2.3,MEM,50,-38.0,-3.1666666666666665
2010,Cole Aldrich,11,2.6,NOH,19,-8.0,-0.7272727272727273
