Player,PlayerAge,Minutes,Name,Club,Nationality
Éder Militão-Real Madrid,21,180,Éder Militão,Real Madrid,BRA
Moussa Diaby-Bayer Leverkusen,20,180,Moussa Diaby,Bayer Leverkusen,FRA
Florentino Luís-Benfica,19,180,Florentino Luís,Benfica,POR
Odilon Kossonou-Club Brugge,18,180,Odilon Kossonou,Club Brugge,CIV
Mouctar Diakhaby-Valencia,22,173,Mouctar Diakhaby,Valencia,FRA
David Okereke-Club Brugge,21,173,David Okereke,Club Brugge,NGA
Amer Gojak-Dinamo Zagreb,22,171,Amer Gojak,Dinamo Zagreb,BIH
Callum Hudson-Odoi-Chelsea,18,171,Callum Hudson-Odoi,Chelsea,ENG
Giovani Lo Celso-Tottenham,23,162,Giovani Lo Celso,Tottenham,ARG
Marcelo Saracchi-RasenBallsport Leipzig,21,160,Marcelo Saracchi,RasenBallsport Leipzig,URU
Joseph Paintsil-Genk,21,156,Joseph Paintsil,Genk,GHA
Tetê-Shakhtar Donetsk,19,155,Tetê,Shakhtar Donetsk,BRA
Lucas Hernández-Bayern Munich,23,149,Lucas Hernández,Bayern Munich,FRA
Ianis Hagi-Genk,20,140,Ianis Hagi,Genk,ROU
Loïs Openda-Club Brugge,19,137,Loïs Openda,Club Brugge,BEL
Ousmane Dembélé-Barcelona,22,136,Ousmane Dembélé,Barcelona,FRA
Sebastiano Luperto-Napoli,22,135,Sebastiano Luperto,Napoli,ITA
Gedson Fernandes-Benfica,20,135,Gedson Fernandes,Benfica,POR
Manor Solomon-Shakhtar Donetsk,20,134,Manor Solomon,Shakhtar Donetsk,ISR
Noa Lang-Ajax,20,128,Noa Lang,Ajax,NED
Charles De Ketelaere-Club Brugge,18,126,Charles De Ketelaere,Club Brugge,BEL
Lee Kangin-Valencia,18,124,Lee Kangin,Valencia,KOR
Renato Sanches-Lille,21,121,Renato Sanches,Lille,POR
Vinicius Júnior-Real Madrid,19,118,Vinicius Júnior,Real Madrid,BRA
Oleksandr Zinchenko-Manchester City,22,114,Oleksandr Zinchenko,Manchester City,UKR
Leon Bailey-Bayer Leverkusen,21,114,Leon Bailey,Bayer Leverkusen,JAM
Ibrahima Konaté-RasenBallsport Leipzig,20,113,Ibrahima Konaté,RasenBallsport Leipzig,FRA
Abdou Diallo-Paris Saint-Germain,23,109,Abdou Diallo,Paris Saint-Germain,FRA
Emre Mor-Galatasaray,22,108,Emre Mor,Galatasaray,TUR
Perr Schuurs-Ajax,19,108,Perr Schuurs,Ajax,NED
Luka Jović-Real Madrid,21,105,Luka Jović,Real Madrid,SRB
Ryan Sessegnon-Tottenham,19,105,Ryan Sessegnon,Tottenham,ENG
Dan-Axel Zagadou-Borussia Dortmund,20,104,Dan-Axel Zagadou,Borussia Dortmund,FRA
Maximiliano Lovera-Olympiacos,20,101,Maximiliano Lovera,Olympiacos,ARG
Valentino Lazaro-Inter,23,100,Valentino Lazaro,Inter,AUT
Luka Ivanušec-Dinamo Zagreb,20,99,Luka Ivanušec,Dinamo Zagreb,CRO
Panagiotis Retsos-Bayer Leverkusen,20,99,Panagiotis Retsos,Bayer Leverkusen,GRE
Elif Elmas-Napoli,19,92,Elif Elmas,Napoli,MKD
Ethan Ampadu-RasenBallsport Leipzig,18,91,Ethan Ampadu,RasenBallsport Leipzig,WAL
Álvaro Odriozola-Real Madrid,23,90,Álvaro Odriozola,Real Madrid,ESP
Anton Miranchuk-Lokomotiv Moscow,23,90,Anton Miranchuk,Lokomotiv Moscow,RUS
Kenny Tete-Lyon,23,90,Kenny Tete,Lyon,NED
Angeliño-Manchester City,22,90,Angeliño,Manchester City,ESP
Gonçalo Guedes-Valencia,22,90,Gonçalo Guedes,Valencia,POR
Kyle Walker-Peters-Tottenham,22,90,Kyle Walker-Peters,Tottenham,ENG
Carles Aleñá-Barcelona,21,90,Carles Aleñá,Barcelona,ESP
Merih Demiral-Juventus,21,90,Merih Demiral,Juventus,TUR
Antoine Bernede-Salzburg,20,90,Antoine Bernede,Salzburg,FRA
Colin Dagba-Paris Saint-Germain,20,90,Colin Dagba,Paris Saint-Germain,FRA
Moussa Wagué-Barcelona,20,90,Moussa Wagué,Barcelona,SEN
Jean-Clair Todibo-Barcelona,19,90,Jean-Clair Todibo,Barcelona,FRA
Eric García-Manchester City,18,90,Eric García,Manchester City,ESP
Maarten Vandevoordt-Genk,17,90,Maarten Vandevoordt,Genk,BEL
Laco Takács-Slavia Prague,23,89,Laco Takács,Slavia Prague,CZE
Ansu Fati-Barcelona,16,89,Ansu Fati,Barcelona,ESP
Lazar Ranđelović-Olympiacos,21,86,Lazar Ranđelović,Olympiacos,SRB
Carles Pérez-Barcelona,21,85,Carles Pérez,Barcelona,ESP
Matheus Cunha-RasenBallsport Leipzig,20,80,Matheus Cunha,RasenBallsport Leipzig,BRA
Siebe Schrijvers-Club Brugge,23,76,Siebe Schrijvers,Club Brugge,BEL
Nianzou Kouassi-Paris Saint-Germain,17,75,Nianzou Kouassi,Paris Saint-Germain,FRA
Masaya Okugawa-Salzburg,23,72,Masaya Okugawa,Salzburg,JPN
Manu Vallejo-Valencia,22,72,Manu Vallejo,Valencia,ESP
Thibault Vlietinck-Club Brugge,21,70,Thibault Vlietinck,Club Brugge,BEL
Ademola Lookman-RasenBallsport Leipzig,21,69,Ademola Lookman,RasenBallsport Leipzig,ENG
Jota-Benfica,20,67,Jota,Benfica,POR
Thiago Maia-Lille,22,66,Thiago Maia,Lille,BRA
Majeed Ashimeru-Salzburg,21,63,Majeed Ashimeru,Salzburg,GHA
Marko Gjira-Dinamo Zagreb,20,59,Marko Gjira,Dinamo Zagreb,CRO
Sebastiano Esposito-Inter,17,51,Sebastiano Esposito,Inter,ITA
Marin Pongračić-Salzburg,21,45,Marin Pongračić,Salzburg,CRO
